Timestamp,Coin,Price,24h Change,Market Cap
2026-02-24 20:53:32,CoinMarketCap 20 Index DTF CMC20 Buy,$130.43,1.17%,"$12,809,655"
2026-02-24 20:53:32,Bitcoin BTC Buy,"$63,764.80",1.26%,"$1,274,922,534,107"
2026-02-24 20:53:36,Ethereum ETH Buy,"$1,844.27",1.57%,"$222,589,587,582"
2026-02-24 20:53:36,Tether USDT Buy,$1.00,0.02%,"$183,666,192,785"
2026-02-24 20:53:36,XRP XRP Buy,$1.34,1.67%,"$82,197,845,975"
2026-02-24 20:53:36,BNB BNB Buy,$584.90,0.79%,"$79,756,972,239"
2026-02-24 20:53:36,USDC USDC Buy,$0.9998,0.00%,"$74,714,808,061"
2026-02-24 20:53:36,Solana SOL Buy,$77.28,1.21%,"$43,946,903,522"
2026-02-24 20:53:36,TRON TRX Buy,$0.2806,0.13%,"$26,587,109,185"
2026-02-24 20:53:37,Dogecoin DOGE Buy,$0.09224,1.70%,"$15,578,502,581"
